epoch,step,d_loss,g_loss_adv,g_loss_l1,g_loss_fm,g_loss_total
0,1,0.8227914571762085,1.3304246664047241,36.95208740234375,0.0,38.28251266479492
0,2,1.0020067691802979,1.1267606019973755,41.11872482299805,0.0,42.245487213134766
0,3,0.8616019487380981,1.1125192642211914,39.05308151245117,0.0,40.16559982299805
0,4,0.7802780866622925,0.8951255679130554,39.533111572265625,0.0,40.42823791503906
0,5,0.730704665184021,0.8493209481239319,36.06285858154297,0.0,36.91217803955078
0,6,0.7019410133361816,0.9216464161872864,35.40781021118164,0.0,36.3294563293457
0,7,0.6886649131774902,0.9624846577644348,37.8304557800293,0.0,38.79294204711914
0,8,0.6761841773986816,1.0599079132080078,38.7064323425293,0.0,39.76634216308594
0,9,0.6495609283447266,1.010206937789917,40.04372787475586,0.0,41.05393600463867
0,10,0.6683889627456665,1.1098229885101318,39.44901657104492,0.0,40.558837890625
0,11,0.6440168023109436,1.0911442041397095,42.12606430053711,0.0,43.21720886230469
0,12,0.6043896675109863,1.081845760345459,34.230613708496094,0.0,35.31245803833008
0,13,0.5737874507904053,1.2383127212524414,39.4920539855957,0.0,40.73036575317383
0,14,0.6152582168579102,1.242674708366394,36.063743591308594,0.0,37.306419372558594
0,15,0.590120792388916,1.336348533630371,37.33382034301758,0.0,38.670169830322266
0,16,0.6660870313644409,1.4424951076507568,35.9409294128418,0.0,37.3834228515625
0,17,0.6300212144851685,1.3293910026550293,34.940799713134766,0.0,36.27019119262695
0,18,0.5287948846817017,1.2697577476501465,33.4854850769043,0.0,34.75524139404297
0,19,0.5201778411865234,1.5079340934753418,33.91627883911133,0.0,35.42421340942383
0,20,0.5170281529426575,1.2607567310333252,35.19085693359375,0.0,36.45161437988281
0,21,0.4175020158290863,1.542220115661621,33.40362548828125,0.0,34.94584655761719
0,22,0.4632350504398346,1.4149407148361206,35.16706085205078,0.0,36.582000732421875
0,23,0.32920143008232117,2.018406391143799,35.62619400024414,0.0,37.64459991455078
0,24,0.37378302216529846,1.2816764116287231,30.025634765625,0.0,31.30731201171875
0,25,0.37157905101776123,2.189981460571289,32.70150375366211,0.0,34.89148712158203
0,26,0.29616013169288635,2.2253236770629883,33.470252990722656,0.0,35.69557571411133
0,27,0.4055449366569519,1.213759183883667,34.583587646484375,0.0,35.79734802246094
0,28,0.37686991691589355,2.1707699298858643,36.260162353515625,0.0,38.430931091308594
0,29,0.33991819620132446,1.9792187213897705,32.58308029174805,0.0,34.56229782104492
0,30,0.2878505289554596,2.0098206996917725,32.256591796875,0.0,34.26641082763672
0,31,0.38445377349853516,1.904057264328003,31.932889938354492,0.0,33.83694839477539
0,32,0.3580700755119324,2.019954204559326,32.8797721862793,0.0,34.89972686767578
0,33,0.27998968958854675,2.0151257514953613,34.573272705078125,0.0,36.58839797973633
0,34,0.22296282649040222,2.3895421028137207,38.60624694824219,0.0,40.99578857421875
0,35,0.21436196565628052,2.2501022815704346,33.89651870727539,0.0,36.14662170410156
0,36,0.14730417728424072,2.5668020248413086,35.831390380859375,0.0,38.398193359375
0,37,0.10646689683198929,2.844203472137451,36.09904479980469,0.0,38.9432487487793
0,38,0.1289166808128357,2.634873390197754,35.04628372192383,0.0,37.681156158447266
0,39,0.11071799695491791,2.9142773151397705,36.613460540771484,0.0,39.52773666381836
0,40,0.12498688697814941,2.977800130844116,34.33165740966797,0.0,37.30945587158203
0,41,0.10726089030504227,2.964719533920288,37.823089599609375,0.0,40.78780746459961
0,42,0.1258527934551239,3.152578830718994,36.940025329589844,0.0,40.09260559082031
0,43,0.25630253553390503,1.1892099380493164,33.2379150390625,0.0,34.4271240234375
0,44,0.47477635741233826,3.3905229568481445,34.13982009887695,0.0,37.53034210205078
0,45,0.5674852728843689,1.5766488313674927,38.52954864501953,0.0,40.106197357177734
0,46,0.2593882083892822,1.6228270530700684,39.78376388549805,0.0,41.40658950805664
0,47,0.2197837233543396,2.265573740005493,35.86013412475586,0.0,38.125709533691406
0,48,0.17451617121696472,2.964787721633911,35.97379684448242,0.0,38.93858337402344
0,49,0.11751630157232285,3.425002098083496,32.75249099731445,0.0,36.177494049072266
0,50,0.2855295240879059,3.116079568862915,31.855043411254883,0.0,34.97112274169922
1,51,0.13061954081058502,3.3971669673919678,33.64545822143555,0.0,37.042625427246094
1,52,0.19821959733963013,2.9515576362609863,39.68254089355469,0.0,42.634098052978516
1,53,0.27286359667778015,1.4568690061569214,33.78803253173828,0.0,35.24489974975586
1,54,0.41030019521713257,3.3027117252349854,35.313232421875,0.0,38.615943908691406
1,55,0.5043908357620239,1.6299203634262085,34.914424896240234,0.0,36.54434585571289
1,56,0.25386613607406616,1.6646126508712769,34.96356201171875,0.0,36.628173828125
1,57,0.35862967371940613,2.9476234912872314,36.22348403930664,0.0,39.17110824584961
1,58,0.3487207889556885,3.360407829284668,36.16175842285156,0.0,39.52216720581055
1,59,0.3451150059700012,1.0063483715057373,32.77492141723633,0.0,33.78126907348633
1,60,0.3558998703956604,2.5106165409088135,37.66516876220703,0.0,40.175785064697266
1,61,0.342864990234375,3.7146177291870117,34.350547790527344,0.0,38.06516647338867
1,62,0.5608617067337036,1.005135178565979,37.41569519042969,0.0,38.42082977294922
1,63,0.5084101557731628,2.3225958347320557,31.98813247680664,0.0,34.31072998046875
1,64,0.2728028893470764,2.8904435634613037,33.96875762939453,0.0,36.85919952392578
1,65,0.2148687243461609,2.685030937194824,35.87689208984375,0.0,38.56192398071289
1,66,0.2596174478530884,1.8208755254745483,33.885276794433594,0.0,35.706153869628906
1,67,0.1367304027080536,2.690195083618164,37.614234924316406,0.0,40.30442810058594
1,68,0.18153762817382812,2.480116605758667,36.59324264526367,0.0,39.073360443115234
1,69,0.14839839935302734,2.4681098461151123,31.19618034362793,0.0,33.66429138183594
1,70,0.16672281920909882,2.8740551471710205,33.791805267333984,0.0,36.66585922241211
1,71,0.14497563242912292,2.9928784370422363,36.068199157714844,0.0,39.06107711791992
1,72,0.16395878791809082,2.692227363586426,33.826454162597656,0.0,36.518680572509766
1,73,0.22338779270648956,1.885995626449585,36.4105110168457,0.0,38.296504974365234
1,74,0.16156628727912903,3.094529867172241,36.76261901855469,0.0,39.857147216796875
1,75,0.1321500688791275,3.1569764614105225,41.92915344238281,0.0,45.08612823486328
1,76,0.11242437362670898,2.699730634689331,34.36397171020508,0.0,37.06370162963867
1,77,0.11095941066741943,2.4875638484954834,34.60529708862305,0.0,37.09286117553711
1,78,0.1575983613729477,3.3434500694274902,33.01591491699219,0.0,36.3593635559082
1,79,0.4893074333667755,0.29330915212631226,32.099037170410156,0.0,32.3923454284668
1,80,0.7853674292564392,3.3369412422180176,32.81947708129883,0.0,36.15641784667969
